ubigeo,departamento,provincia,distrito,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO MORADO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POPULAR CRISTIANO - PPC,PERU PATRIA SEGURA,PODEMOS PERU,RENACIMIENTO UNIDO NACIONAL,RENOVACION POPULAR,UNION POR EL PERU,VICTORIA NACIONAL
910101,AFRICA,ARGELIA,ARGEL,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
910502,AFRICA,MARRUECOS,RABAT,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1
910603,AFRICA,SUDAFRICA,PRETORIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
920202,AMERICA,ARGENTINA,BUENOS AIRES,1406,606,1599,103,203,3832,2344,451,544,481,2064,496,166,590,112,2542,197,1430
920203,AMERICA,ARGENTINA,CORDOBA,292,179,280,29,39,871,339,103,105,101,598,87,33,126,16,472,30,320
920204,AMERICA,ARGENTINA,CORRIENTES,2,0,5,0,0,7,3,0,0,1,1,3,0,0,0,10,0,0
920205,AMERICA,ARGENTINA,LA PLATA,223,167,189,42,130,529,354,64,69,63,322,74,29,69,14,410,24,174
920206,AMERICA,ARGENTINA,MENDOZA,103,101,88,6,18,289,109,21,46,51,109,23,17,35,2,161,13,65
920207,AMERICA,ARGENTINA,ROSARIO DE SANTA FE,153,36,129,11,16,166,184,59,40,38,118,34,12,28,5,235,11,64
920401,AMERICA,BOLIVIA,COCHABAMBA,67,3,86,1,6,71,48,6,9,13,58,9,5,12,1,106,5,35
920403,AMERICA,BOLIVIA,LA PAZ,72,12,84,2,3,55,47,8,13,13,44,11,5,10,1,98,1,23
920405,AMERICA,BOLIVIA,SANTA CRUZ,83,13,182,2,6,166,57,22,35,16,46,19,10,22,4,234,4,64
920411,AMERICA,BOLIVIA,EL ALTO,28,4,7,4,4,16,11,4,6,7,47,1,4,2,1,13,3,6
920502,AMERICA,BRASIL,BELO HORIZONTE,14,1,22,2,0,9,31,0,5,1,2,4,0,0,1,18,0,1
920503,AMERICA,BRASIL,BRASILIA,16,1,25,0,0,7,28,2,9,1,6,4,3,0,1,42,0,14
920504,AMERICA,BRASIL,CURITIBA,2,1,10,0,0,4,13,2,1,2,0,3,2,1,0,11,0,4
920505,AMERICA,BRASIL,MANAOS,40,11,37,2,1,104,38,4,7,18,12,11,5,8,4,105,7,36
920506,AMERICA,BRASIL,PORTO ALEGRE,0,0,4,0,0,10,13,1,1,0,2,2,0,1,0,11,0,4
920508,AMERICA,BRASIL,RIO BRANCO,5,0,4,0,1,26,9,0,1,1,5,3,0,2,1,22,2,2
920509,AMERICA,BRASIL,RIO DE JANEIRO,29,6,100,3,7,41,134,6,21,3,28,14,7,8,1,107,1,21
920510,AMERICA,BRASIL,SAO PAULO,163,25,171,6,5,130,230,35,55,20,280,31,8,17,9,263,11,78
