ambito,region,provincia,distrito,total_actas,actas_contabilizadas,pct_actas,fuente_proporcion,votos_AHORA NACIÓN - AN,votos_ALIANZA ELECTORAL VENCEREMOS,votos_ALIANZA PARA EL PROGRESO,votos_AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,votos_FE EN EL PERÚ,votos_FUERZA POPULAR,votos_FUERZA Y LIBERTAD,votos_JUNTOS POR EL PERÚ,votos_LIBERTAD POPULAR,votos_PARTIDO APRISTA PERUANO,votos_PARTIDO CÍVICO OBRAS,votos_PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,votos_PARTIDO DEL BUEN GOBIERNO,votos_PARTIDO DEMOCRATICO FEDERAL,votos_PARTIDO DEMOCRÁTICO SOMOS PERÚ,votos_PARTIDO DEMÓCRATA UNIDO PERÚ,votos_PARTIDO DEMÓCRATA VERDE,votos_PARTIDO FRENTE DE LA ESPERANZA 2021,votos_PARTIDO MORADO,votos_PARTIDO PATRIÓTICO DEL PERÚ,votos_PARTIDO PAÍS PARA TODOS,votos_PARTIDO POLÍTICO COOPERACIÓN POPULAR,votos_PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,votos_PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,votos_PARTIDO POLÍTICO PERÚ ACCIÓN,votos_PARTIDO POLÍTICO PERÚ PRIMERO,votos_PARTIDO POLÍTICO PRIN,votos_PARTIDO SICREO,votos_PERÚ MODERNO,votos_PODEMOS PERÚ,"votos_PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",votos_PROGRESEMOS,votos_RENOVACIÓN POPULAR,votos_SALVEMOS AL PERÚ,votos_UN CAMINO DIFERENTE,votos_UNIDAD NACIONAL,votos_VOTOS EN BLANCO,votos_VOTOS NULOS
EXTRANJERO,AMÉRICA,ANTILLAS HOLANDESAS,ARUBA,2,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,BUENOS AIRES,221,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,CATAMARCA,1,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,CORRIENTES,1,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,CÓRDOBA,27,7,25.93,extranjero,396,32,20,7,6,848,9,105,13,58,455,4,637,3,30,20,17,56,26,22,587,22,16,20,11,10,4,69,4,16,236,9,1577,3,45,37,1002,267
EXTRANJERO,AMÉRICA,ARGENTINA,LA PLATA,25,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,LA RIOJA,1,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,MENDOZA,10,6,60.0,distrito,60,18,13,2,5,308,3,45,5,58,132,5,47,2,7,7,27,25,3,27,213,7,2,10,7,3,2,7,2,27,33,5,172,5,142,3,843,142
EXTRANJERO,AMÉRICA,ARGENTINA,ROSARIO DE SANTA FE,8,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,SALTA,3,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,SAN JUAN,1,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,ARGENTINA,SAN LUIS,1,1,100.0,distrito,11.0,1.0,0.0,0.0,2.0,16.0,0.0,4.0,0.0,3.0,9.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,1.0,10.0,5.0
EXTRANJERO,AMÉRICA,BOLIVIA,COCHABAMBA,7,3,42.86,distrito,184,12,5,0,0,133,7,163,2,5,135,0,418,0,12,9,2,30,9,9,72,23,14,7,5,7,0,152,2,5,124,9,180,2,2,5,394,75
EXTRANJERO,AMÉRICA,BOLIVIA,LA PAZ,7,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,BOLIVIA,SANTA CRUZ,8,3,37.5,distrito,51,27,8,0,3,235,5,16,3,11,85,0,83,0,3,3,3,5,0,5,56,8,0,5,3,5,3,19,3,3,27,0,517,3,5,5,435,80
EXTRANJERO,AMÉRICA,BRASIL,BELO HORIZONTE,2,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,BRASIL,BRASILIA,2,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,BRASIL,CURITIBA,2,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,BRASIL,FORTALEZA,1,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,BRASIL,GOIANIA,1,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,BRASIL,MANAOS,5,1,20.0,extranjero,46,4,2,1,1,98,1,12,2,7,53,0,74,0,3,2,2,6,3,3,68,3,2,2,1,1,0,8,0,2,27,1,182,0,5,4,116,31
EXTRANJERO,AMÉRICA,BRASIL,PORTO ALEGRE,2,0,0.0,extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTRANJERO,AMÉRICA,BRASIL,RÍO BRANCO,2,1,50.0,distrito,8,8,4,2,0,34,0,6,0,0,6,0,4,2,2,0,0,0,0,0,12,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,14,0
