timestamp,pct_actas_global,total_distritos,distritos_100pct,total_votos_validos,total_votos_emitidos,top_candidates_json
2026-04-14 18:23:49,74.2,2102,560,13055712,15439194,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2207574, ""pct"": 16.909}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1677778, ""pct"": 12.851}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1555052, ""pct"": 11.911}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1304812, ""pct"": 9.994}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1297429, ""pct"": 9.938}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1070460, ""pct"": 8.199}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 994743, ""pct"": 7.619}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 480211, ""pct"": 3.678}, {""partido"": ""PARTIDO SICREO"", ""votos"": 467958, ""pct"": 3.584}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 248760, ""pct"": 1.905}]"
2026-04-14 19:08:39,76.45,2102,610,13386482,15856196,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2259588, ""pct"": 16.88}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1705500, ""pct"": 12.74}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1580059, ""pct"": 11.803}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1372428, ""pct"": 10.252}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1340841, ""pct"": 10.016}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1088749, ""pct"": 8.133}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1015105, ""pct"": 7.583}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 487945, ""pct"": 3.645}, {""partido"": ""PARTIDO SICREO"", ""votos"": 476603, ""pct"": 3.56}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 254354, ""pct"": 1.9}]"
2026-04-14 19:27:02,76.63,2102,614,13412919,15890144,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2263450, ""pct"": 16.875}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1706876, ""pct"": 12.726}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1581720, ""pct"": 11.793}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1379189, ""pct"": 10.283}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1343682, ""pct"": 10.018}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1090001, ""pct"": 8.127}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1016929, ""pct"": 7.582}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 488475, ""pct"": 3.642}, {""partido"": ""PARTIDO SICREO"", ""votos"": 477303, ""pct"": 3.559}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 254834, ""pct"": 1.9}]"
2026-04-14 20:06:34,76.74,2102,617,13427460,15908901,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2265802, ""pct"": 16.874}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1707776, ""pct"": 12.719}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1582766, ""pct"": 11.788}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1382739, ""pct"": 10.298}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1345427, ""pct"": 10.02}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1090770, ""pct"": 8.123}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1017782, ""pct"": 7.58}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 488747, ""pct"": 3.64}, {""partido"": ""PARTIDO SICREO"", ""votos"": 477684, ""pct"": 3.558}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 255084, ""pct"": 1.9}]"
2026-04-14 20:46:02,77.1,2102,629,13476924,15972878,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2273314, ""pct"": 16.868}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1710374, ""pct"": 12.691}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1585139, ""pct"": 11.762}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1397791, ""pct"": 10.372}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1351467, ""pct"": 10.028}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1092974, ""pct"": 8.11}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1020472, ""pct"": 7.572}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 489614, ""pct"": 3.633}, {""partido"": ""PARTIDO SICREO"", ""votos"": 478643, ""pct"": 3.552}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 255749, ""pct"": 1.898}]"
2026-04-14 21:24:46,77.38,2102,634,13514831,16022123,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2279225, ""pct"": 16.865}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1712238, ""pct"": 12.669}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1587462, ""pct"": 11.746}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1410091, ""pct"": 10.434}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1355636, ""pct"": 10.031}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1094486, ""pct"": 8.098}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1022391, ""pct"": 7.565}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 490207, ""pct"": 3.627}, {""partido"": ""PARTIDO SICREO"", ""votos"": 479197, ""pct"": 3.546}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 256283, ""pct"": 1.896}]"
2026-04-14 22:03:33,77.67,2102,640,13554590,16073980,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2287444, ""pct"": 16.876}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1713955, ""pct"": 12.645}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1589540, ""pct"": 11.727}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1419596, ""pct"": 10.473}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1360149, ""pct"": 10.035}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1096802, ""pct"": 8.092}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1024886, ""pct"": 7.561}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 490929, ""pct"": 3.622}, {""partido"": ""PARTIDO SICREO"", ""votos"": 480058, ""pct"": 3.542}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 256938, ""pct"": 1.896}]"
2026-04-15 09:32:57,88.01,2102,894,14977654,17910549,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2531018, ""pct"": 16.899}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1800757, ""pct"": 12.023}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1771567, ""pct"": 11.828}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1675401, ""pct"": 11.186}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1520973, ""pct"": 10.155}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1174005, ""pct"": 7.838}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1112865, ""pct"": 7.43}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 519147, ""pct"": 3.466}, {""partido"": ""PARTIDO SICREO"", ""votos"": 511962, ""pct"": 3.418}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 280314, ""pct"": 1.872}]"
2026-04-15 11:11:39,0,0,0,0,0,[]
2026-04-15 11:31:57,89.12,2102,910,15127097,18106316,"[{""partido"": ""FUERZA POPULAR"", ""votos"": 2560099, ""pct"": 16.924}, {""partido"": ""RENOVACIÓN POPULAR"", ""votos"": 1810286, ""pct"": 11.967}, {""partido"": ""JUNTOS POR EL PERÚ"", ""votos"": 1805155, ""pct"": 11.933}, {""partido"": ""PARTIDO DEL BUEN GOBIERNO"", ""votos"": 1684432, ""pct"": 11.135}, {""partido"": ""PARTIDO CÍVICO OBRAS"", ""votos"": 1537240, ""pct"": 10.162}, {""partido"": ""PARTIDO PAÍS PARA TODOS"", ""votos"": 1184324, ""pct"": 7.829}, {""partido"": ""AHORA NACIÓN - AN"", ""votos"": 1121542, ""pct"": 7.414}, {""partido"": ""PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO"", ""votos"": 522649, ""pct"": 3.455}, {""partido"": ""PARTIDO SICREO"", ""votos"": 515742, ""pct"": 3.409}, {""partido"": ""PARTIDO FRENTE DE LA ESPERANZA 2021"", ""votos"": 282430, ""pct"": 1.867}]"
